;tmdb_id;imdb_rating;imdb_votes
780;963;7.9;170,325
779;337960;7.4;13,754
782;776305;7.0;19,010
783;40619;8.0;20,433
786;5544;7.8;37,371
785;19026;7.4;3,817
787;158;7.8;34,887
784;23832;;
790;851;8.0;45,780
789;8016;7.8;14,318
794;227932;6.6;3,474
793;1002185;7.3;24,455
795;137182;7.7;44,156
894;1726;7.9;1,170,173
822;44214;8.0;847,805
788;242582;7.8;636,139
883;414906;7.8;870,437
749;603692;7.6;375,074
828;522627;N/A;N/A
698;1700;7.8;249,584
703;12429;7.6;174,851
712;703;7.9;284,304
736;15121;8.1;273,650
879;1904;7.3;166,996
861;51739;7.6;111,171
759;502033;;
834;11362;7.7;153,218
852;1632;7.8;120,278
862;845;7.9;145,316
816;506574;6.4;12,982
697;20126;7.5;45,206
734;903;8.0;194,198
719;336804;7.6;41,684
791;1633;7.7;87,379
800;51608;7.7;77,928
694;27670;7.6;7,310
839;11171;;
746;486589;6.4;6,016
799;336;7.6;38,512
877;9912;7.8;61,544
860;587272;6.0;3,525
803;13187;8.3;46,729
882;25188;8.0;54,812
796;244063;7.4;16,700
704;11902;8.0;62,796
711;14282;7.8;41,918
855;993;7.9;50,869
874;49992;7.2;1,987
825;2433;7.7;12,502
770;14811;8.0;48,809
798;4480;8.1;28,026
885;11898;8.0;40,748
773;24657;7.9;32,627
737;49687;7.4;11,643
805;359784;7.6;24,090
769;573699;7.0;5,630
818;3763;7.9;23,085
891;20123;8.1;33,615
792;980;;
826;938008;6.6;5,027
896;81401;7.7;20,232
755;20139;7.8;18,899
837;573171;;
889;435366;6.8;6,938
761;2204;7.9;13,847
797;770254;6.5;11,519
801;5910;7.7;34,231
802;499;7.8;28,861
809;539517;7.3;10,020
804;3114;7.8;99,240
806;613868;6.3;2,232
807;597316;6.8;4,834
811;773;7.8;529,633
808;766507;7.1;243,640
810;393729;7.3;10,718
814;9023;7.2;89,645
813;336808;7.8;25,201
812;632;7.9;60,180
817;286217;8.0;956,193
815;792307;7.8;337,982
819;672322;;
820;556984;7.7;198,007
821;713776;7.8;22,810
824;11220;7.5;54,038
823;238628;8.1;50,317
831;767;7.6;616,702
830;83666;7.8;374,526
829;375794;5.5;2,781
827;869626;;
833;2493;8.0;463,526
832;840430;7.9;196,289
835;726759;7.4;96,813
836;177945;7.8;29,466
838;479718;7.2;14,349
842;675;7.5;663,977
840;446159;7.3;31,507
841;10757;7.4;58,366
846;11787;7.9;59,607
