;tmdb_id;imdb_rating;imdb_votes
318;67676;8.3;13,110
389;67667;6.9;1,027
298;88043;6.2;741
321;17149;7.2;5,999
349;61602;2.8;748
314;202284;7.1;7,610
347;21631;6.4;1,909
308;61670;8.4;11,992
337;208336;7.6;3,586
284;74081;6.8;1,671
348;99654;8.2;3,965
302;62568;;
393;101972;6.4;1,159
385;61456;7.3;3,737
338;85552;8.3;269,954
341;1622;8.4;509,479
339;93846;8.1;18,112
343;60622;8.8;443,575
342;87784;7.8;74,821
345;61223;7.8;32,652
344;113808;7.2;2,174
350;99966;7.5;78,691
351;92592;7.1;3,743
355;67070;8.7;226,594
354;79084;8.6;35,043
356;112888;8.0;18,577
358;46648;8.9;699,182
359;38603;7.5;2,420
364;96648;7.2;38,096
360;118357;8.7;139,308
365;63767;7.6;6,728
367;62640;7.2;4,515
368;89641;6.6;8,752
369;61852;6.2;8,867
370;95601;7.7;3,995
374;2131;8.1;28,285
372;14929;8.4;21,102
371;39434;8.1;16,534
373;8880;8.4;975
378;39351;7.9;135,789
379;52814;7.3;103,707
380;16420;7.8;15,137
381;71024;8.3;88,612
382;222766;8.2;82,968
390;12609;8.5;72,043
388;84200;8.7;23,207
391;1400;8.9;368,429
394;688;8.9;91,811
398;1891;8.7;194,245
395;96713;8.2;27,598
396;81046;8.3;30,492
397;43982;8.7;75,159
400;63333;8.5;174,197
402;117303;8.2;47,185
403;849;8.8;81,970
405;73586;8.6;270,521
392;206164;N/A;283
406;62560;8.5;440,930
409;21510;8.2;147,040
410;2207;8.8;104,975
411;87527;7.4;3,239
413;40008;8.5;290,975
415;86831;8.4;211,377
416;1988;7.9;19,652
417;81356;8.2;378,537
418;65320;8.6;40,502
419;79525;9.0;166,486
421;71446;8.2;569,765
420;131041;8.1;25,195
424;110356;7.8;38,288
425;95599;8.3;8,038
427;1777;8.1;47,358
429;18123;8.2;20,058
428;208493;6.6;3,497
431;81355;8.8;147,983
432;2902;8.5;22,969
433;67136;8.7;167,538
435;1416;7.6;357,891
436;75219;7.9;56,174
438;70593;8.3;59,345
437;98754;7.8;253
440;42916;7.9;20,932
439;135934;8.4;48,616
441;37680;8.4;514,176
443;32351;7.9;11,240
442;61611;8.1;9,734
446;31251;7.0;31,530
445;83867;8.4;202,532
448;33880;8.3;142,783
452;76773;7.1;23,651
453;60797;7.0;61,647
456;1405;8.6;841,228
461;1087;8.1;18,941
464;83103;6.8;5,107
463;95314;8.4;647
467;69740;8.5;369,847
468;1972;8.7;182,079
469;48891;8.4;392,510
471;4336;7.1;21,906
470;87083;8.5;55,323
474;102903;6.8;11,357
473;105971;7.8;61,235
475;31109;7.8;12,602
472;115577;7.2;3,552
478;61695;7.2;3,150
481;4604;7.5;143,719
482;157744;8.3;76,625
480;21409;6.0;1,103
483;115004;8.4;204,761
484;99778;7.2;8,765
486;71365;8.5;82,685
